u-g,g-r,r-i,i-z,u-z,g-z,redshift_log,class
1.8918300000000023,0.973119999999998,0.4464199999999998,0.3339300000000023,3.6453000000000024,1.75347,-1.036524504905517,GALAXY
1.7428399999999975,0.9659400000000016,0.5379400000000008,0.3492499999999996,3.5959699999999994,1.853130000000002,-1.1817231556757952,GALAXY
1.448719999999998,0.8508800000000001,0.4155600000000028,0.32809999999999917,3.04326,1.594540000000002,-1.0689133198069887,GALAXY
1.9776699999999998,0.9481399999999987,0.4556900000000006,0.3552900000000001,3.736789999999999,1.7591199999999994,-1.0549712006000245,GALAXY
1.483830000000001,0.6826799999999977,0.41321999999999903,0.19883000000000095,2.778559999999999,1.2947299999999977,-1.1021568597223073,GALAXY
1.7046700000000001,0.7649399999999993,0.3430900000000001,0.2906399999999998,3.1033399999999993,1.3986699999999992,-1.029324969508282,GALAXY
2.1572499999999977,1.14142,0.48500999999999905,0.43008999999999986,4.213769999999997,2.056519999999999,-0.8691990533286155,GALAXY
2.270769999999999,1.139070000000002,0.46712999999999916,0.36649000000000065,4.243460000000001,1.9726900000000018,-0.8588777171487446,GALAXY
1.3814400000000013,1.7363199999999992,0.6536399999999993,0.3548399999999994,4.126239999999999,2.744799999999998,-0.42697746605446035,GALAXY
1.80077,1.1582099999999969,0.485120000000002,0.354849999999999,3.798949999999998,1.9981799999999978,-0.787427828960622,GALAXY
1.4276100000000014,0.7723499999999994,0.5060900000000004,0.29259000000000057,2.9986400000000017,1.5710300000000004,-0.9574996982840841,GALAXY
1.809660000000001,1.1201599999999985,0.4703000000000017,0.3458799999999975,3.7459999999999987,1.9363399999999977,-0.8457501447863313,GALAXY
1.1265800000000006,0.39169000000000054,0.13274999999999793,0.04506000000000299,1.696080000000002,0.5695000000000014,-3.3382707751469174,STAR
1.6220199999999991,0.8557099999999984,0.46096999999999966,0.3333100000000009,3.272009999999998,1.649989999999999,-1.0380857989716994,GALAXY
-0.13998000000000133,0.34572999999999965,0.03237000000000023,-0.008459999999999468,0.2296599999999991,0.3696400000000004,0.11438210210617424,QSO
1.4282800000000009,0.9489999999999981,0.4480300000000028,0.3394799999999982,3.16479,1.736509999999999,-0.815187097257908,GALAXY
0.1548199999999973,0.4734800000000021,0.006709999999998217,-0.008489999999998332,0.6265199999999993,0.471700000000002,0.14164633731527926,QSO
1.6894799999999996,0.9224999999999994,0.407230000000002,0.27177000000000007,3.290980000000001,1.6015000000000015,-1.0468081606902369,GALAXY
