u-g,g-r,r-i,i-z,u-z,g-z,uv_excess,r_i_sq,redshift_log,class
0.2824112303881112,0.1994341209757536,0.17210495166698106,0.1125536802157267,0.19183584162883116,0.1690224834018056,0.3965615082284378,0.17956688276148522,-0.12921872414048993,GALAXY
0.08236155028767038,0.18374681829602932,0.8942986782402645,0.21455441259694544,0.15836777893303197,0.3072303985300004,-0.000840707034624113,1.0405437795236456,-0.42391206206898824,GALAXY
-0.3125549670030179,-0.06764329957723005,-0.07141448017359078,0.07373747461631901,-0.21661971209867345,-0.05138072702688514,-0.5026307124291579,-0.07465600041764858,-0.2030697629186583,GALAXY
0.3976690633958351,0.14485629076131096,0.2452554744525452,0.2547688005592638,0.2539074624688549,0.17685787092412333,0.7071186868156222,0.2594878552890233,-0.1718990187395815,GALAXY
-0.26541257980705263,-0.43513693616928867,-0.08987966068259644,-0.7869436399347421,-0.3962060935212875,-0.4671555116404103,0.06711644493019946,-0.09319032005316048,-0.2737727247185337,GALAXY
0.03111048451524906,-0.2554102622925771,-0.6432826987571492,-0.17567162688505533,-0.17585828483811258,-0.3230121171147781,0.45546704778719715,-0.6000937273024914,-0.11210510288540185,GALAXY
0.6387921022067322,0.5671462436775573,0.4766226080094436,0.7527880422117744,0.5775157443387363,0.5892904813909539,0.6687263989014761,0.5230825340423276,0.3430518287748476,GALAXY
0.7912160211610348,0.5620118200985406,0.3355296902741934,0.3293385265821035,0.5976589995878413,0.4730355192677753,0.9934354792380388,0.36038167206717736,0.3778450185908631,GALAXY
-0.4028921874685294,1.8669201105539681,1.8072992700729462,0.25177269549584147,0.5181307954686158,1.5437932289770666,-3.1724920658273676,2.358127113943591,2.668000543463679,GALAXY
0.16014447510288388,0.6038300615038319,0.47749062931544434,0.25183927560835934,0.2960800709661326,0.5083849047445671,-0.3773093171357009,0.5241024024731412,0.6395582217766559,GALAXY
-0.3408994783589444,-0.23922044156042982,0.6429670546458686,-0.1626885049435742,-0.24689226343632628,-0.0839842598852439,-0.3417193860036219,0.7227510598625541,0.07354472066550038,GALAXY
0.17208112626130423,0.520696096745645,0.3605444860919287,0.19211691467756029,0.260156010156434,0.4226255482170995,-0.2457666897861011,0.3887817570036884,0.42316021762279965,GALAXY
-0.7450940900821065,-1.070909666917925,-2.30309725784177,-1.8107460301607554,-1.130617374829749,-1.4729003068282323,-0.11856771544868942,-1.5566363911077048,-1.1938743336370956,STAR
-0.07986411821178697,-0.05709042047652252,0.2869204971394576,0.10842571323945326,-0.0614236986856685,0.025517014231973282,-0.03051766535655961,0.3057433927908903,-0.13289584615242098,GALAXY
-2.4457110632212866,-1.1713258829569921,-3.095206155060124,-2.1670827923698956,-2.1255137157657105,-1.7500650059805567,-3.5391244036234646,-1.7150412139454272,8.942892730765521,QSO
-0.33999986572945795,0.14673527130512162,0.1848096271454026,0.1495056426645158,-0.1341673776283668,0.14550245289233063,-0.8348781325094334,0.19332957737550235,0.5334149334756169,GALAXY
-2.0498815062469413,-0.8922098777570174,-3.297691852436345,-2.167282532707449,-1.8562630496101444,-1.6085287846481915,-3.070990703181401,-1.7246249034728827,9.380742557940916,QSO
0.010714789228815783,0.0888364522225478,-0.1371473663444386,-0.30130829921102814,-0.04855345442579877,-0.041728639034790654,-0.02864008631258501,-0.140158147361106,-0.15321711674793384,GALAXY
0.46476405309057345,0.13436895749352462,0.11079108305383775,0.08219314890641949,0.25540684253286805,0.11062457746112418,0.8606037677687083,0.11384346071477003,-0.18364357655152416,GALAXY
0.3198727115264554,0.14175378800292485,-0.22623791674887553,0.12387229934417833,0.15975860659421995,0.06476329155615358,0.5487294814939486,-0.22681899828823338,-0.14682740235404565,GALAXY
-0.38186542063604273,-0.2895596412458058,0.5355691457881083,-0.1820633176870073,-0.2944314313482368,-0.1388458404839898,-0.36265299116557714,0.5928663081691131,0.07261198922979098,GALAXY
-0.9094546601948246,-1.0867499098744848,-0.8502663247188595,-1.348080828256605,-1.0465299697919015,-1.131263542912623,-0.4412871224699846,-0.7655300441094804,-0.16069772088142306,GALAXY
0.5546581807684295,0.3460164520040669,0.3229828368514402,0.4437231598921189,0.4216344938829042,0.3575571619255653,0.7767572528496492,0.34620916570157073,0.36892899815283897,GALAXY
-0.7588031123911579,-0.6483138334480386,0.020201223120922967,-0.9581211092246875,-0.7196854694128174,-0.6187737271829072,-0.6892116269782899,0.018850586049875596,-0.1573930798131972,GALAXY
0.4616355494686248,0.2523077595341832,0.07472874334188319,0.22673857318817667,0.30207759122218253,0.20925338464471943,0.7028030573712636,0.07572655534698028,-0.16738001322627272,GALAXY
0.4000187978758357,0.12525808671713762,-0.09382521207339405,-0.016545157961317218,0.19220899051353796,0.048315911730547244,0.7371599515192259,-0.09713707382337489,-0.164816791606104,GALAXY
-0.5817942572489307,-0.6084619670304451,-1.0644308542118748,-0.21235726888378478,-0.6351299321377857,-0.6287586457954161,-0.3708919201048068,-0.9228629119175987,-0.9418318357562325,GALAXY
0.45584848912072945,0.12263625340018909,-0.025882817123721976,0.30470388494955775,0.2581817133300653,0.12550487978226943,0.8570447746554953,-0.028506636393332712,-0.14088622293728092,GALAXY
6.380603277543922,1.4493713062192075,0.887275596764628,-1.0233030393821412,3.6070572630886226,0.8514916705670269,11.52088106097234,1.0314002060351282,2.7058742844508563,GALAXY
-0.5565513954066063,-0.5882301532680064,-0.40339317419609433,-0.42834315389992356,-0.5812675867613547,-0.5447327820826192,-0.3441574364040159,-0.39190376089652607,-0.44640258815791806,GALAXY
0.34755929722798196,0.5937797004555434,0.52554744525546,0.21109224674588614,0.3876372382233368,0.5019640473590251,0.02673448370079093,0.5809268805724035,0.38612215000860617,GALAXY
0.0990513786227854,0.04422158861250645,0.08001578220553235,-0.24937581144512724,0.006190879223578371,-0.021065404683900783,0.2129510918682598,0.08128983818197782,-0.16790712171142294,GALAXY
0.5142293206581927,0.20716852926074905,0.046478595383710686,0.1566297147042116,0.30506278229985373,0.16103454851179755,0.8704680636415323,0.046145767247891566,-0.14175287333237302,GALAXY
-0.05537317140306382,0.2263953069183612,0.5379364766225869,0.12460468058191038,0.06221070360614451,0.25293740357446276,-0.34300847012337754,0.595691146743083,0.6786562444661234,GALAXY
0.4527199854987808,0.10911196320693783,0.08167291378969257,0.12926528845832677,0.24377138185512728,0.09928060048190954,0.8678618718342215,0.08303531983082552,-0.20150993889342003,GALAXY
-0.0310970574610805,-0.07443821759031628,-0.15079897415664598,-0.19185059422751247,-0.11040118593500088,-0.12496403002409737,0.09351464581713179,-0.15359550644675904,-0.1721282786601344,GALAXY
-0.2873658133773724,-0.5889511574301706,-1.0907871375024476,-0.5459236326109503,-0.5165567856276615,-0.6904848579402704,0.21858382900020354,-0.941252240413764,-0.369108610631349,GALAXY
0.2390821265768365,0.3450988103431314,0.5938843953442259,0.04524118645760674,0.2445787403511333,0.32158371903548555,0.11929632821202567,0.6629522382794839,-0.1877443319644455,GALAXY
0.30263237397031273,0.3052032467035865,0.11394752416650386,0.499916774859329,0.2693693953461555,0.30662020905923176,0.30310290954693997,0.11719873183291199,-0.16928363651593947,GALAXY
0.426886333272911,0.16427970591769447,0.5660288025251331,0.11175471886546497,0.28770796689830214,0.21577131762788684,0.7431850186006522,0.6293438929415127,-0.15341408921866728,GALAXY
0.47839251307458974,0.1673166628431594,0.024225685539561753,0.18945371017675092,0.27601144549397255,0.13866555723126575,0.8467881488331688,0.023017184240662642,-0.1832175364056469,GALAXY
-0.9565701932824432,1.9562372322179613,3.235588873545014,1.0153800059921836,0.46671087915573545,2.010546570284471,-4.4426322537253995,4.932578819655516,3.490488144416128,GALAXY
0.4723906198599522,0.23041545133768282,0.2831327678042863,0.3063018076500457,0.3267393402388496,0.24855513373897206,0.753329550151676,0.3015163246019869,-0.17581078481548965,GALAXY
