0.000000000000000000e+00,4.085976974665807211e+04,2.000000000000000000e+00
0.000000000000000000e+00,5.337898141000884789e+04,2.000000000000000000e+00
0.000000000000000000e+00,5.337898141000884789e+04,2.000000000000000000e+00
0.000000000000000000e+00,4.085976974665807211e+04,2.000000000000000000e+00
0.000000000000000000e+00,4.085976974665807211e+04,2.000000000000000000e+00
0.000000000000000000e+00,5.337898141000884789e+04,2.000000000000000000e+00
0.000000000000000000e+00,5.337898141000884789e+04,2.000000000000000000e+00
0.000000000000000000e+00,4.085976974665807211e+04,2.000000000000000000e+00
0.000000000000000000e+00,5.337898141000884789e+04,2.000000000000000000e+00
0.000000000000000000e+00,4.085976974665807211e+04,2.000000000000000000e+00
0.000000000000000000e+00,4.085976974665807211e+04,2.000000000000000000e+00
0.000000000000000000e+00,4.085976974665807211e+04,2.000000000000000000e+00
0.000000000000000000e+00,5.337898141000884789e+04,2.000000000000000000e+00
0.000000000000000000e+00,5.337898141000884789e+04,2.000000000000000000e+00
0.000000000000000000e+00,5.337898141000884789e+04,2.000000000000000000e+00
0.000000000000000000e+00,4.085976974665807211e+04,2.000000000000000000e+00
0.000000000000000000e+00,5.337898141000884789e+04,2.000000000000000000e+00
0.000000000000000000e+00,4.085976974665807211e+04,2.000000000000000000e+00
0.000000000000000000e+00,5.337898141000884789e+04,2.000000000000000000e+00
0.000000000000000000e+00,4.085976974665807211e+04,2.000000000000000000e+00
0.000000000000000000e+00,4.085976974665807211e+04,2.000000000000000000e+00
0.000000000000000000e+00,5.337898141000884789e+04,2.000000000000000000e+00
0.000000000000000000e+00,5.337898141000884789e+04,2.000000000000000000e+00
0.000000000000000000e+00,4.085976974665807211e+04,2.000000000000000000e+00
0.000000000000000000e+00,5.337898141000884789e+04,2.000000000000000000e+00
0.000000000000000000e+00,4.085976974665807211e+04,2.000000000000000000e+00
0.000000000000000000e+00,4.085976974665807211e+04,2.000000000000000000e+00
0.000000000000000000e+00,4.085976974665807211e+04,2.000000000000000000e+00
0.000000000000000000e+00,5.337898141000884789e+04,2.000000000000000000e+00
0.000000000000000000e+00,5.337898141000884789e+04,2.000000000000000000e+00
0.000000000000000000e+00,4.085976974665807211e+04,2.000000000000000000e+00
0.000000000000000000e+00,4.085976974665807211e+04,2.000000000000000000e+00
