u,g,r,i,z,redshift,u_g,g_r,r_i,i_z,color_std,sed_slope_full,quasar_score,likely_galaxy_type,likely_stellar_type,brightness_pop,class
0.08236436470247584,-0.40283388843839585,-0.6075485012134876,-0.6481385746336977,-0.6737475665359481,-0.29043686565035065,0.42237586863503845,0.35299663427885886,0.3116828045810638,0.20304488759791042,0.39660194430528134,-0.3378178348057293,0.0,red_sequence,G_type,bright,GALAXY
-1.429411741134334,-1.6371162380581206,-1.8121469607168468,-1.9050382914145467,-1.9230888301474487,-0.7582110379431104,0.09071958516061353,0.3257288479061834,1.1236264169660726,0.42861054777205404,-0.04215439890136442,-0.3361805288549254,0.0,red_sequence,G_type,bright,GALAXY
0.10236787755974376,0.19058741753346198,0.16059980504809812,0.15954319347233642,0.1014330288611922,-0.3720741602784551,-0.30433387715103144,-0.09960560869591915,-0.1291978390993431,0.12670123599192423,-0.44315755210050806,0.21963322024659315,0.0,red_sequence,G_type,bright,GALAXY
0.5807114558123738,0.2122077825814148,0.023618002720074742,-0.03698550216007055,-0.10934970259149013,-0.3336946914977191,0.6958993844283612,0.2538267093697012,0.4266308931193704,0.5235165459740085,0.621098481311592,-0.4418901215941432,0.0,red_sequence,G_type,bright,GALAXY
-0.002561079801898166,0.0015322529350644688,0.19772636629277682,0.20125516299817559,0.3382306789641934,-0.48912075272416494,-0.2530190300804784,-0.4912824749771603,-0.1604085623129519,-0.7583574471563187,-0.23370591602010204,0.4170392718506262,0.0,green_valley,G_type,bright,GALAXY
0.4847623437197177,0.4196144438239928,0.6119107819911034,0.6899627574098995,0.6257827387419322,-0.2591413352916058,0.03328871851756477,-0.3132825877399957,-0.7243141415014649,-0.2429710230008823,0.08882555775786521,0.23395688331582687,0.0,red_sequence,G_type,bright,GALAXY
0.861753175368157,0.4087291937098748,-0.04108983166546217,-0.1511558097800149,-0.31777932994132047,0.4489706006281263,1.1892842551930898,0.895416145846583,0.7491855599219974,1.5887709585727845,1.0464291390292453,-1.0229960950562071,0.0,red_sequence,KM_type,bright,GALAXY
-0.7312555219616668,-1.4622616519814962,-1.7519386208520473,-1.8122790888573117,-1.8488020988491753,0.48193854217715304,1.3714762374090956,0.8883860374482992,0.5600042080736594,0.7068780203025966,1.3321031746191325,-1.0296754990534298,0.0,red_sequence,KM_type,bright,GALAXY
1.3981657206988842,1.8292038368606314,1.6441326763320474,1.3850789311302123,1.3237619067229598,1.2897245156771415,-0.3955499574840985,1.6139272690732023,1.6339068708618656,0.5176507827002712,0.023829334302858884,-1.1886771603708661,0.0,red_sequence,KM_type,bright,GALAXY
0.6634935453912494,0.5752532985869675,0.1232648528720599,0.009479281705704003,-0.06753532812705118,0.6762003334975675,0.20092881279961453,0.9265603633428842,0.7503366087865422,0.5178377655511894,0.14504306972414718,-0.6795442202072745,0.0,red_sequence,KM_type,bright,GALAXY
-1.2185999115144892,-1.2259508665232632,-1.2282429226546525,-1.322595255110673,-1.3062280842510037,0.11051402317892313,-0.32906852994606633,-0.29760045240743965,0.9296475214123392,-0.22786260719505047,-0.5459625700318449,0.2370589882296603,0.0,red_sequence,G_type,bright,GALAXY
0.6806566841105102,0.5877364941629507,0.20491120224148635,0.11014865039690488,0.03208142845553503,0.511667370754787,0.22076162209595687,0.8463708636189627,0.600387898856183,0.3795668034455847,0.16974914516209946,-0.5790123466722022,0.0,red_sequence,KM_type,bright,GALAXY
-1.178878872240523,-0.9223295042572162,-0.5294948307033069,-0.19122121223342461,0.1989027414324884,-1.6834736890672972,-0.906874832725315,-1.1697114042888526,-1.5389898327916773,-1.4532752007732945,-0.5556646186152421,1.2273557855178723,0.0,blue_cloud,AF_type,bright,STAR
0.41447337740080736,0.42314656832870307,0.45596952835585963,0.3645928322108063,0.2849140956592577,-0.2935227985201214,-0.07676088212486572,-0.08446241268846998,0.4926032036137591,0.19334684498237462,-0.17014510321558082,0.06890229396601605,0.0,red_sequence,G_type,bright,GALAXY
